degree,train_mse,test_mse,train_r2,train_adj_r2,test_r2,test_adj_r2
1,114.4417872365662,113.68598378884401,0.5067010961576027,0.5062965870113605,0.5134547803229745,0.5118569306688627
2,113.86921651465519,111.78292124509589,0.5091691501465447,0.5086659403353355,0.5215993725809498,0.5196338810960728
3,113.80717824704908,111.73946894342859,0.5094365647871704,0.5088329182303046,0.521785336663378,0.5194257248377039
4,113.77641163878155,111.59586607288738,0.5095691836015024,0.5088649752497507,0.5223999180556068,0.5196483126452276
5,113.42800706859587,110.75740076743465,0.5110709741337564,0.5102684644482967,0.5259883224713238,0.5228646870345615
6,113.04207933341313,109.82374412884234,0.5127345074752488,0.5118345712075035,0.5299841200110671,0.5264967804233504
7,112.66662179638405,108.72973193161835,0.5143529092490104,0.5133560966653672,0.5346661959107339,0.5308268080882153
8,112.37041314292809,108.57551288739305,0.5156297103859611,0.5145358747904458,0.5353262116510238,0.5311053927642866
9,112.3572591902891,108.6286051759216,0.515686410220651,0.5144930297119544,0.5350989910357439,0.5304884025170901
10,112.35618028660508,108.63389707399035,0.5156910608121661,0.514397978822139,0.5350763431452775,0.5300771640393127
