degree,train_mse,test_mse,train_r2,train_adj_r2,test_r2,test_adj_r2
1,114.51008713707215,112.91083939146422,0.5127299908024652,0.5123305072942074,0.4908555097768521,0.48918206856001345
2,113.60915417526368,112.17160943393029,0.5165636933483502,0.5160681661787605,0.4941888908934471,0.4921090754777129
3,113.49716176451294,112.33650651892107,0.5170402499939759,0.5164460817552972,0.49344532683237463,0.4909438222735222
4,113.46148906726104,112.21540260270616,0.5171920465383051,0.5164989260144676,0.493991416047702,0.4910737388749953
5,113.06614875090514,111.5742806677338,0.5188743217369618,0.5180847821623763,0.4968824024446823,0.49356423197440813
6,112.64547630596441,110.78422866802997,0.520664391688356,0.5197792828506858,0.5004449534345337,0.49673538625706737
7,112.09886747310709,110.35898253643293,0.5229903535112198,0.5220114705920965,0.5023624994031783,0.4982531889110494
8,111.75712177365207,110.44156740533819,0.5244445697665744,0.5233708608723693,0.5019901026412237,0.4974627399379621
9,111.74744847079243,110.47533546997501,0.5244857321697415,0.5233142743142779,0.501837833610651,0.496893295978995
10,111.7470097891229,110.48162133210788,0.5244875988735958,0.5232182639219236,0.5018094890151414,0.49644816729096664
