mtry,min_n,.metric,.estimator,mean,n,std_err,.config
1,2,rmse,standard,10.81510435907823,5,0.2710687492418989,pre0_mod01_post0
1,2,rsq,standard,0.49860174656987644,5,0.015155755898333617,pre0_mod01_post0
1,6,rmse,standard,10.813298397901844,5,0.2656109582848443,pre0_mod02_post0
1,6,rsq,standard,0.4988304221121582,5,0.014545412455865322,pre0_mod02_post0
1,11,rmse,standard,10.83687792681402,5,0.2665898967267662,pre0_mod03_post0
1,11,rsq,standard,0.49675918127629026,5,0.014866002878006873,pre0_mod03_post0
1,15,rmse,standard,10.832763306079475,5,0.2697056253937638,pre0_mod04_post0
1,15,rsq,standard,0.49726454699353945,5,0.015296405786318544,pre0_mod04_post0
1,20,rmse,standard,10.828617557366393,5,0.26183150600764266,pre0_mod05_post0
1,20,rsq,standard,0.49795855018658314,5,0.014464770100836638,pre0_mod05_post0
2,2,rmse,standard,10.801456083765963,5,0.2629941707020608,pre0_mod06_post0
2,2,rsq,standard,0.5005624256494474,5,0.014495313946368497,pre0_mod06_post0
2,6,rmse,standard,10.80484925907709,5,0.2592517203778519,pre0_mod07_post0
2,6,rsq,standard,0.49994821333001943,5,0.01422208058069164,pre0_mod07_post0
2,11,rmse,standard,10.787863166841914,5,0.26722386188083624,pre0_mod08_post0
2,11,rsq,standard,0.5013300332689261,5,0.015001085625963773,pre0_mod08_post0
2,15,rmse,standard,10.795139143903524,5,0.26841145193122307,pre0_mod09_post0
2,15,rsq,standard,0.5004650528608138,5,0.01527035908069563,pre0_mod09_post0
2,20,rmse,standard,10.802425739231065,5,0.2710793475802977,pre0_mod10_post0
2,20,rsq,standard,0.4997598106020511,5,0.015143016958245721,pre0_mod10_post0
3,2,rmse,standard,10.837100251002758,5,0.27257584756998954,pre0_mod11_post0
3,2,rsq,standard,0.4977536440931537,5,0.015367323939368249,pre0_mod11_post0
3,6,rmse,standard,10.79502549854772,5,0.27292971674279143,pre0_mod12_post0
3,6,rsq,standard,0.5012090937066609,5,0.015432584348287511,pre0_mod12_post0
3,11,rmse,standard,10.764281944147493,5,0.2724583126093946,pre0_mod13_post0
3,11,rsq,standard,0.5038056516980379,5,0.0152299746625939,pre0_mod13_post0
3,15,rmse,standard,10.787007285122902,5,0.27041113309869697,pre0_mod14_post0
3,15,rsq,standard,0.5015898679211981,5,0.015074455187237766,pre0_mod14_post0
3,20,rmse,standard,10.816712066589863,5,0.2741602950686842,pre0_mod15_post0
3,20,rsq,standard,0.49881480965545716,5,0.015226870819923282,pre0_mod15_post0
4,2,rmse,standard,12.621166105654055,5,0.29463852372348115,pre0_mod16_post0
4,2,rsq,standard,0.3474288817810147,5,0.018765223066898328,pre0_mod16_post0
4,6,rmse,standard,12.696798926196733,5,0.28751602203006066,pre0_mod17_post0
4,6,rsq,standard,0.3351648272216068,5,0.019285128883051002,pre0_mod17_post0
4,11,rmse,standard,12.820164915746664,5,0.2613242022964704,pre0_mod18_post0
4,11,rsq,standard,0.3212502090116509,5,0.017530775916918758,pre0_mod18_post0
4,15,rmse,standard,12.843216495308608,5,0.2570603003921033,pre0_mod19_post0
4,15,rsq,standard,0.3188267851248932,5,0.017390038594716096,pre0_mod19_post0
4,20,rmse,standard,12.831357966319498,5,0.2576363699091553,pre0_mod20_post0
4,20,rsq,standard,0.31936774680481206,5,0.01770592241152217,pre0_mod20_post0
