trees,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
100,3,0.001,rmse,standard,14.689869539691163,5,0.07157737056008151,pre0_mod01_post0
100,3,0.001,rsq,standard,0.4197150191914529,5,0.009530309293495302,pre0_mod01_post0
100,3,0.004641588833612777,rmse,standard,13.18371740389095,5,0.08246733127457356,pre0_mod02_post0
100,3,0.004641588833612777,rsq,standard,0.4485923030482033,5,0.008190165885505815,pre0_mod02_post0
100,3,0.021544346900318832,rmse,standard,11.044013394991072,5,0.12008585006057566,pre0_mod03_post0
100,3,0.021544346900318832,rsq,standard,0.4978798154285927,5,0.008743037461935176,pre0_mod03_post0
100,3,0.1,rmse,standard,10.39750761054782,5,0.14437653718322108,pre0_mod04_post0
100,3,0.1,rsq,standard,0.5366265060826494,5,0.008689132716275324,pre0_mod04_post0
100,4,0.001,rmse,standard,14.627922476497696,5,0.07443346984475235,pre0_mod05_post0
100,4,0.001,rsq,standard,0.44945357236862515,5,0.010930015076151137,pre0_mod05_post0
100,4,0.004641588833612777,rmse,standard,12.970844203832591,5,0.09355963062866476,pre0_mod06_post0
100,4,0.004641588833612777,rsq,standard,0.47569624637434266,5,0.008864617313299438,pre0_mod06_post0
100,4,0.021544346900318832,rmse,standard,10.7431000893847,5,0.13948971404913574,pre0_mod07_post0
100,4,0.021544346900318832,rsq,standard,0.5193730555557431,5,0.009443765196071442,pre0_mod07_post0
100,4,0.1,rmse,standard,10.317960329505185,5,0.16032885891112147,pre0_mod08_post0
100,4,0.1,rsq,standard,0.5437866850905164,5,0.010075760849743546,pre0_mod08_post0
100,6,0.001,rmse,standard,14.543938809325008,5,0.07785312406996205,pre0_mod09_post0
100,6,0.001,rsq,standard,0.4959129911800172,5,0.011424990754191329,pre0_mod09_post0
100,6,0.004641588833612777,rmse,standard,12.692352246409659,5,0.10924673691988214,pre0_mod10_post0
100,6,0.004641588833612777,rsq,standard,0.5100855244780552,5,0.01391661490526334,pre0_mod10_post0
100,6,0.021544346900318832,rmse,standard,10.51660084251748,5,0.17189440661405192,pre0_mod11_post0
100,6,0.021544346900318832,rsq,standard,0.5342302162209401,5,0.01270003569380874,pre0_mod11_post0
100,6,0.1,rmse,standard,10.385992190156623,5,0.16243698729582054,pre0_mod12_post0
100,6,0.1,rsq,standard,0.538711561256877,5,0.010250250471435542,pre0_mod12_post0
100,8,0.001,rmse,standard,14.513698153842203,5,0.08179696972423221,pre0_mod13_post0
100,8,0.001,rsq,standard,0.5022777307270705,5,0.013462855630121541,pre0_mod13_post0
100,8,0.004641588833612777,rmse,standard,12.591244282046107,5,0.11320240652801318,pre0_mod14_post0
100,8,0.004641588833612777,rsq,standard,0.5150988479650889,5,0.015470510401742401,pre0_mod14_post0
100,8,0.021544346900318832,rmse,standard,10.454971449650467,5,0.193711862149332,pre0_mod15_post0
100,8,0.021544346900318832,rsq,standard,0.5367120145882022,5,0.014794959459493821,pre0_mod15_post0
100,8,0.1,rmse,standard,10.55915287685597,5,0.19306837297214105,pre0_mod16_post0
100,8,0.1,rsq,standard,0.5253966608838194,5,0.012625226670806301,pre0_mod16_post0
400,3,0.001,rmse,standard,13.407456023243627,5,0.08019502180152005,pre0_mod17_post0
400,3,0.001,rsq,standard,0.44594192313723674,5,0.00782022100639451,pre0_mod17_post0
400,3,0.004641588833612777,rmse,standard,11.220502667640398,5,0.11352794151122668,pre0_mod18_post0
400,3,0.004641588833612777,rsq,standard,0.4898746905853964,5,0.008804572007685483,pre0_mod18_post0
400,3,0.021544346900318832,rmse,standard,10.396834870277504,5,0.14360724308854503,pre0_mod19_post0
400,3,0.021544346900318832,rsq,standard,0.5369892560805599,5,0.008712607883125544,pre0_mod19_post0
400,3,0.1,rmse,standard,10.467709099307609,5,0.1445551328952722,pre0_mod20_post0
400,3,0.1,rsq,standard,0.5312502008733442,5,0.008723340970830322,pre0_mod20_post0
400,4,0.001,rmse,standard,13.215523824067088,5,0.0897458777769752,pre0_mod21_post0
400,4,0.001,rsq,standard,0.4723638186000102,5,0.009176839708318469,pre0_mod21_post0
400,4,0.004641588833612777,rmse,standard,10.887298262055094,5,0.13272079379442442,pre0_mod22_post0
400,4,0.004641588833612777,rsq,standard,0.5147113085358601,5,0.009392237639349496,pre0_mod22_post0
400,4,0.021544346900318832,rmse,standard,10.336570492291749,5,0.15274621098476757,pre0_mod23_post0
400,4,0.021544346900318832,rsq,standard,0.5420522267241247,5,0.009421442892504912,pre0_mod23_post0
400,4,0.1,rmse,standard,10.530708349562932,5,0.15770923726616184,pre0_mod24_post0
400,4,0.1,rsq,standard,0.5277339243387899,5,0.009858341804214472,pre0_mod24_post0
400,6,0.001,rmse,standard,12.96067980908141,5,0.10440567240225565,pre0_mod25_post0
400,6,0.001,rsq,standard,0.5083458950459747,5,0.014053128054731858,pre0_mod25_post0
400,6,0.004641588833612777,rmse,standard,10.61579299447206,5,0.16716079676863196,pre0_mod26_post0
400,6,0.004641588833612777,rsq,standard,0.5321011412263656,5,0.012871077252063563,pre0_mod26_post0
400,6,0.021544346900318832,rmse,standard,10.372261046130092,5,0.16926363930933247,pre0_mod27_post0
400,6,0.021544346900318832,rsq,standard,0.5394965263778161,5,0.010771191704483037,pre0_mod27_post0
400,6,0.1,rmse,standard,10.88013355344392,5,0.1504010533118157,pre0_mod28_post0
400,6,0.1,rsq,standard,0.5025477726786386,5,0.009201131028660253,pre0_mod28_post0
