dbn,ontrack_year1_2013,graduation_rate_2013,college_career_rate_2013,ontrack_year1_2014,graduation_rate_2014,college_career_rate_2014,ontrack_year1_boro,graduation_rate_boro,college_career_rate_boro,pct_stu_enough_variety_2014,pct_stu_safe_2014,quality_review_year,qr_curriculum,qr_instruction,qr_assessing_student_learning,qr_high_expectations,qr_teacher_collaboration,total_days,days_absent,days_present,percent_attend,20plus_days,chronic_absent,percent_chronic
01M292,62%,58%,32%,63%,43%,41%,85%,70%,53%,77%,76%,2013-2014,P,D,P,P,P,4808.871595330739,1248.9292604501609,5724.070739549839,82.7836012861736,44.72668810289389,22.234726688102892,47.68327974276529
01M448,83%,78%,55%,90%,80%,52%,85%,70%,53%,75%,90%,2012-2013,P,P,P,P,P,10959.509803921568,1265.7018633540372,11970.124223602485,89.9860248447205,84.45652173913044,25.142857142857142,31.362111801242236
01M509,59%,36%,38%,59%,48%,26%,85%,70%,53%,28%,71%,2013-2014,D,D,D,D,P,7230.54,2129.0780669144983,7638.111524163569,78.3386617100372,62.57992565055762,39.765799256505574,63.335687732342016
01M539,99%,98%,84%,97%,95%,89%,85%,70%,53%,75%,87%,2010-2011,WD,P,P,WD,D,19412.025067144135,876.9128491620112,21105.22905027933,95.83396648044688,127.48715083798882,8.929943502824859,7.655028248587574
01M696,96%,98%,94%,98%,100%,93%,85%,70%,53%,90%,98%,2013-2014,WD,WD,P,WD,WD,16980.88101265823,973.8673469387755,18344.54761904762,94.8870748299319,117.39795918367346,12.380952380952381,11.021088435374155
02M047,98%,71%,42%,90%,69%,62%,85%,70%,53%,50%,90%,2013-2014,P,P,P,P,P,5378.339240506329,909.4538152610442,6468.277108433735,87.32489959839357,46.48995983935743,20.016064257028113,44.612449799196774
02M294,90%,65%,49%,88%,71%,40%,85%,70%,53%,88%,96%,2013-2014,WD,P,WD,WD,P,9962.796116504855,1516.437106918239,10309.4213836478,87.3135220125786,72.24842767295597,24.930817610062892,34.33867924528301
02M300,73%,55%,55%,79%,65%,43%,85%,70%,53%,66%,82%,2013-2014,P,P,P,P,P,10829.218673218673,2418.4861538461537,10624.553846153845,81.30492307692315,83.31384615384616,44.54769230769231,53.33723076923073
02M303,78%,62%,52%,83%,72%,49%,85%,70%,53%,78%,87%,2011-2012,P,P,P,WD,P,11315.442542787287,2551.093373493976,11185.939759036144,81.41144578313258,88.18072289156626,46.4277108433735,52.889759036144596
02M305,83%,83%,60%,90%,87%,69%,85%,70%,53%,66%,80%,2012-2013,P,P,P,P,P,9219.50495049505,1730.2405498281787,9983.395189003437,85.26460481099653,75.17182130584193,35.439862542955325,46.66323024054979
02M316,77%,75%,48%,71%,77%,62%,85%,70%,53%,64%,91%,2011-2012,P,P,D,P,P,9475.727748691099,2359.937037037037,9815.177777777777,80.48407407407409,78.36296296296297,43.97037037037037,55.188888888888904
