"Report Type","DBN","School Name","Grade","Year","Demographic Category","Demographic Variable","# Total Days","# Days Absent","# Days Present","% Attendance","# Contributing 20+ Total Days","# Chronically Absent","% Chronically Absent","Total Enrollment","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multiple Race Categories Not Represented","% Multiple Race Categories Not Represented","# White","% White","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
"School","01M015","P.S. 015 Roberto Clemente","All Grades","2016-17","All Students","All Students",30601,1994,28607,93.5,193,48,24.9,178,17,28,33,27,31,24,18,0,0,0,0,0,0,0,83,46.6,95,53.4,14,7.9,51,28.7,105,59,4,2.2,4,2.2,51,28.7,12,6.7,152,85.4,89.2
"School","01M019","P.S. 019 Asher Levy","All Grades","2016-17","All Students","All Students",47382,4484,42898,90.5,280,94,33.6,271,24,37,46,47,40,43,34,0,0,0,0,0,0,0,127,46.9,144,53.1,24,8.9,51,18.8,180,66.4,1,0.4,15,5.5,88,32.5,9,3.3,207,76.4,58.2
"School","01M020","P.S. 020 Anna Silver","All Grades","2016-17","All Students","All Students",94536,6998,87538,92.6,569,154,27.1,540,41,83,83,92,95,77,69,0,0,0,0,0,0,0,265,49.1,275,50.9,175,32.4,52,9.6,264,48.9,22,4.1,27,5,116,21.5,93,17.2,315,58.3,68
"School","01M034","P.S. 034 Franklin D. Roosevelt","All Grades","2016-17","All Students","All Students",61477,5601,55876,90.9,369,118,32,350,13,21,24,37,31,29,36,38,59,62,0,0,0,0,170,48.6,180,51.4,19,5.4,102,29.1,216,61.7,2,0.6,11,3.1,130,37.1,27,7.7,348,99.4,86.8
"School","01M063","The STAR Academy - P.S.63","All Grades","2016-17","All Students","All Students",35246,2580,32666,92.7,214,60,28,200,22,38,37,28,28,26,21,0,0,0,0,0,0,0,97,48.5,103,51.5,8,4,37,18.5,129,64.5,5,2.5,21,10.5,66,33,5,2.5,165,82.5,67.9
"School","01M064","P.S. 064 Robert Simon","All Grades","2016-17","All Students","All Students",43121,4046,39075,90.6,253,98,38.7,247,21,46,34,37,33,32,44,0,0,0,0,0,0,0,104,42.1,143,57.9,13,5.3,48,19.4,167,67.6,3,1.2,16,6.5,81,32.8,10,4,239,96.8,83
"School","01M110","P.S. 110 Florence Nightingale","All Grades","2016-17","All Students","All Students",67086,3242,63844,95.2,394,52,13.2,383,32,62,54,50,59,76,50,0,0,0,0,0,0,0,179,46.7,204,53.3,70,18.3,37,9.7,161,42,10,2.6,105,27.4,55,14.4,20,5.2,221,57.7,49.7
"School","01M134","P.S. 134 Henrietta Szold","All Grades","2016-17","All Students","All Students",62476,5493,56983,91.2,382,136,35.6,354,22,29,58,51,61,59,74,0,0,0,0,0,0,0,171,48.3,183,51.7,55,15.5,71,20.1,213,60.2,5,1.4,10,2.8,143,40.4,33,9.3,319,90.1,83.5
"School","01M140","P.S. 140 Nathan Straus","All Grades","2016-17","All Students","All Students",68734,6324,62410,90.8,416,170,40.9,382,18,31,28,25,28,32,34,64,66,56,0,0,0,0,182,47.6,200,52.4,18,4.7,45,11.8,304,79.6,4,1,11,2.9,124,32.5,45,11.8,287,75.1,84.3
"School","01M142","P.S. 142 Amalia Castro","All Grades","2016-17","All Students","All Students",62640,5385,57255,91.4,379,111,29.3,356,34,56,56,47,51,44,68,0,0,0,0,0,0,0,162,45.5,194,54.5,17,4.8,42,11.8,285,80.1,8,2.2,4,1.1,121,34,32,9,349,98,86.6
"School","01M184","P.S. 184m Shuang Wen","All Grades","2016-17","All Students","All Students",117715,2649,115066,97.7,688,29,4.2,672,36,71,59,68,65,56,63,89,86,79,0,0,0,0,330,49.1,342,50.9,468,69.6,30,4.5,81,12.1,36,5.4,57,8.5,125,18.6,109,16.2,461,68.6,54
"School","01M188","P.S. 188 The Island School","All Grades","2016-17","All Students","All Students",81066,7986,73080,90.1,548,215,39.2,445,29,35,41,47,48,49,34,52,52,58,0,0,0,0,195,43.8,250,56.2,10,2.2,141,31.7,278,62.5,1,0.2,15,3.4,138,31,64,14.4,382,85.8,92.9
"School","01M292","Orchard Collegiate Academy","All Grades","2016-17","All Students","All Students",22376,2969,19407,86.7,143,64,44.8,140,0,0,0,0,0,0,0,0,0,0,40,35,31,34,53,37.9,87,62.1,21,15,34,24.3,77,55,1,0.7,7,5,38,27.1,20,14.3,128,91.4,84.4
"School","01M301","Technology, Arts, and Sciences Studio","All Grades","2016-17","All Students","All Students",22644,2385,20259,89.5,136,52,38.2,127,0,0,0,0,0,0,0,27,44,56,0,0,0,0,60,47.2,67,52.8,11,8.7,41,32.3,65,51.2,4,3.1,6,4.7,56,44.1,6,4.7,98,77.2,73.7
"School","01M315","The East Village Community School","All Grades","2016-17","All Students","All Students",55190,2721,52469,95.1,321,36,11.2,315,36,48,49,49,44,47,42,0,0,0,0,0,0,0,155,49.2,160,50.8,32,10.2,17,5.4,61,19.4,21,6.7,184,58.4,59,18.7,4,1.3,71,22.5,27.9
"School","01M332","University Neighborhood Middle School","All Grades","2016-17","All Students","All Students",40416,3480,36936,91.4,237,70,29.5,234,0,0,0,0,0,0,0,67,77,90,0,0,0,0,102,43.6,132,56.4,22,9.4,67,28.6,133,56.8,1,0.4,11,4.7,109,46.6,23,9.8,205,87.6,79.7
"School","01M361","The Children's Workshop School","All Grades","2016-17","All Students","All Students",51552,3548,48004,93.1,303,62,20.5,295,35,59,55,48,35,35,28,0,0,0,0,0,0,0,140,47.5,155,52.5,30,10.2,29,9.8,114,38.6,14,4.7,108,36.6,67,22.7,12,4.1,142,48.1,46.9
"School","01M363","Neighborhood School","All Grades","2016-17","All Students","All Students",53106,3374,49732,93.6,306,54,17.6,304,18,58,51,56,44,43,34,0,0,0,0,0,0,0,148,48.7,156,51.3,15,4.9,33,10.9,105,34.5,9,3,142,46.7,69,22.7,10,3.3,121,39.8,40.5
"School","01M364","Earth School","All Grades","2016-17","All Students","All Students",58133,3420,54713,94.1,337,62,18.4,331,36,48,48,56,48,49,46,0,0,0,0,0,0,0,163,49.2,168,50.8,20,6,43,13,113,34.1,28,8.5,127,38.4,85,25.7,17,5.1,164,49.5,45.2
